Order_ID,Ship_Mode,Ship_Date,Ship_id
53156,REGULAR AIR,11/3/2012,410
53511,REGULAR AIR,22-02-2009,411
53511,REGULAR AIR,21-02-2009,412
53797,DELIVERY TRUCK,1/10/2009,413
53990,REGULAR AIR,2/11/2012,414
54083,DELIVERY TRUCK,23-07-2011,415
54274,REGULAR AIR,25-11-2010,416
54276,REGULAR AIR,7/2/2010,417
54528,REGULAR AIR,6/1/2011,418
54567,REGULAR AIR,4/8/2009,419
54628,REGULAR AIR,6/6/2010,420
55298,DELIVERY TRUCK,3/8/2009,421
55363,REGULAR AIR,30-12-2010,422
55366,REGULAR AIR,11/10/2012,423
55715,EXPRESS AIR,4/4/2011,424
55875,REGULAR AIR,28-11-2009,425
55875,REGULAR AIR,25-11-2009,426
56453,DELIVERY TRUCK,12/4/2012,427
57127,REGULAR AIR,18-02-2010,428
57344,REGULAR AIR,26-09-2010,429
57509,EXPRESS AIR,21-02-2009,430
57509,DELIVERY TRUCK,26-02-2009,431
57600,REGULAR AIR,13-11-2012,432
58055,REGULAR AIR,29-10-2011,433
58144,REGULAR AIR,23-12-2009,434
58150,REGULAR AIR,7/5/2010,435
58340,REGULAR AIR,9/1/2011,436
58368,REGULAR AIR,11/7/2012,437
58368,REGULAR AIR,10/7/2012,438
58368,EXPRESS AIR,9/7/2012,439
58434,REGULAR AIR,10/3/2009,440
58626,DELIVERY TRUCK,1/1/2012,441
58626,DELIVERY TRUCK,2/1/2012,442
58626,REGULAR AIR,31-12-2011,443
58688,REGULAR AIR,31-03-2009,444
59045,REGULAR AIR,15-02-2011,445
59047,REGULAR AIR,28-01-2011,446
59047,REGULAR AIR,30-01-2011,447
59202,REGULAR AIR,8/9/2012,448
59202,REGULAR AIR,9/9/2012,449
59207,DELIVERY TRUCK,18-05-2009,450
59234,REGULAR AIR,2/8/2012,451
59234,DELIVERY TRUCK,3/8/2012,452
59395,EXPRESS AIR,24-04-2012,453
59558,REGULAR AIR,19-07-2012,454
59585,REGULAR AIR,23-09-2012,455
59651,REGULAR AIR,22-05-2010,456
645,REGULAR AIR,4/12/2009,457
769,DELIVERY TRUCK,2/6/2010,458
773,REGULAR AIR,26-09-2010,459
1187,REGULAR AIR,20-11-2012,460
2339,REGULAR AIR,16-12-2010,461
3521,REGULAR AIR,27-10-2012,462
4007,REGULAR AIR,18-06-2010,463
4416,REGULAR AIR,3/7/2012,464
4454,REGULAR AIR,6/2/2009,465
5153,EXPRESS AIR,27-08-2011,466
5446,REGULAR AIR,27-06-2009,467
8131,REGULAR AIR,3/5/2010,468
8994,REGULAR AIR,9/4/2009,469
9027,REGULAR AIR,11/9/2011,470
9216,DELIVERY TRUCK,16-04-2011,471
9537,DELIVERY TRUCK,15-02-2011,472
9537,REGULAR AIR,15-02-2011,473
9574,REGULAR AIR,31-07-2011,474
10435,REGULAR AIR,12/8/2010,475
10435,REGULAR AIR,11/8/2010,476
10851,REGULAR AIR,6/4/2009,477
10852,REGULAR AIR,28-10-2010,478
10852,DELIVERY TRUCK,27-10-2010,479
11269,EXPRESS AIR,30-05-2012,480
11269,REGULAR AIR,2/6/2012,481
11362,REGULAR AIR,12/9/2012,482
11362,REGULAR AIR,15-09-2012,483
11362,REGULAR AIR,14-09-2012,484
11968,REGULAR AIR,16-03-2011,485
12293,REGULAR AIR,19-06-2011,486
12773,REGULAR AIR,13-01-2011,487
12773,REGULAR AIR,20-01-2011,488
12773,REGULAR AIR,16-01-2011,489
12934,REGULAR AIR,6/3/2009,490
12934,EXPRESS AIR,6/3/2009,491
13120,REGULAR AIR,21-12-2009,492
13120,REGULAR AIR,14-12-2009,493
13604,REGULAR AIR,4/2/2009,494
13604,REGULAR AIR,5/2/2009,495
13927,EXPRESS AIR,2/9/2009,496
15044,REGULAR AIR,10/3/2012,497
15139,DELIVERY TRUCK,21-11-2009,498
15139,DELIVERY TRUCK,19-11-2009,499
15463,EXPRESS AIR,26-07-2010,500
15618,REGULAR AIR,7/8/2010,501
15618,REGULAR AIR,6/8/2010,502
16100,REGULAR AIR,8/3/2011,503
16320,REGULAR AIR,22-10-2011,504
16419,REGULAR AIR,5/8/2009,505
17090,DELIVERY TRUCK,30-04-2010,506
17090,DELIVERY TRUCK,3/5/2010,507
17315,REGULAR AIR,26-04-2009,508
17376,REGULAR AIR,6/12/2011,509
18210,REGULAR AIR,7/8/2010,510
18273,REGULAR AIR,17-09-2011,511
18788,REGULAR AIR,3/10/2009,512
19042,REGULAR AIR,2/3/2009,513
19073,REGULAR AIR,25-06-2009,514
19073,EXPRESS AIR,26-06-2009,515
19365,REGULAR AIR,17-01-2011,516
19617,REGULAR AIR,22-01-2012,517
19617,REGULAR AIR,20-01-2012,518
20033,REGULAR AIR,23-05-2010,519
21223,DELIVERY TRUCK,16-03-2012,520
21223,REGULAR AIR,16-03-2012,521
21378,REGULAR AIR,8/8/2011,522
21378,REGULAR AIR,10/8/2011,523
21542,REGULAR AIR,22-05-2011,524
21542,DELIVERY TRUCK,22-05-2011,525
22656,EXPRESS AIR,24-12-2010,526
22695,REGULAR AIR,8/7/2009,527
23076,REGULAR AIR,28-05-2009,528
24038,EXPRESS AIR,22-06-2011,529
24067,REGULAR AIR,23-08-2012,530
24067,EXPRESS AIR,23-08-2012,531
24388,DELIVERY TRUCK,27-01-2011,532
24451,DELIVERY TRUCK,4/12/2012,533
24806,REGULAR AIR,8/9/2010,534
24965,EXPRESS AIR,3/4/2011,535
24965,REGULAR AIR,29-03-2011,536
25154,REGULAR AIR,21-08-2010,537
25315,EXPRESS AIR,2/12/2010,538
25315,REGULAR AIR,2/12/2010,539
25315,DELIVERY TRUCK,4/12/2010,540
25376,REGULAR AIR,27-03-2011,541
26240,REGULAR AIR,22-12-2009,542
26240,REGULAR AIR,20-12-2009,543
26791,REGULAR AIR,6/5/2011,544
28836,REGULAR AIR,25-10-2010,545
28836,REGULAR AIR,26-10-2010,546
28995,REGULAR AIR,13-05-2010,547
29121,REGULAR AIR,13-04-2010,548
29319,REGULAR AIR,26-01-2009,549
29319,EXPRESS AIR,26-01-2009,550
29382,REGULAR AIR,20-11-2010,551
29382,EXPRESS AIR,19-11-2010,552
29445,DELIVERY TRUCK,1/10/2010,553
29762,REGULAR AIR,5/8/2010,554
30048,DELIVERY TRUCK,15-06-2011,555
30243,REGULAR AIR,7/5/2010,556
30372,REGULAR AIR,1/9/2010,557
30499,REGULAR AIR,1/11/2012,558
32199,REGULAR AIR,16-07-2009,559
32199,REGULAR AIR,17-07-2009,560
32327,DELIVERY TRUCK,14-08-2012,561
32676,REGULAR AIR,4/2/2009,562
32835,REGULAR AIR,9/7/2012,563
32869,REGULAR AIR,28-03-2009,564
33763,REGULAR AIR,25-09-2010,565
34048,REGULAR AIR,30-03-2011,566
34275,REGULAR AIR,3/7/2009,567
34438,REGULAR AIR,12/12/2010,568
34880,REGULAR AIR,17-09-2009,569
34978,REGULAR AIR,6/2/2011,570
35141,REGULAR AIR,12/9/2010,571
35300,REGULAR AIR,3/3/2010,572
35300,REGULAR AIR,5/3/2010,573
35558,REGULAR AIR,17-09-2009,574
36293,REGULAR AIR,10/1/2011,575
36293,EXPRESS AIR,14-01-2011,576
36516,REGULAR AIR,28-07-2011,577
36677,REGULAR AIR,25-12-2009,578
37185,REGULAR AIR,1/11/2012,579
37888,REGULAR AIR,24-12-2009,580
38310,REGULAR AIR,17-04-2012,581
40327,REGULAR AIR,15-05-2011,582
40480,EXPRESS AIR,7/12/2011,583
40480,REGULAR AIR,9/12/2011,584
40800,REGULAR AIR,6/12/2010,585
40835,REGULAR AIR,26-11-2009,586
40835,REGULAR AIR,25-11-2009,587
40871,REGULAR AIR,15-09-2011,588
40871,DELIVERY TRUCK,15-09-2011,589
41570,REGULAR AIR,5/12/2010,590
41991,DELIVERY TRUCK,23-12-2011,591
41991,REGULAR AIR,22-12-2011,592
42400,REGULAR AIR,11/8/2012,593
42400,REGULAR AIR,14-08-2012,594
42754,REGULAR AIR,25-08-2010,595
42918,REGULAR AIR,24-05-2011,596
42944,DELIVERY TRUCK,19-11-2012,597
44037,REGULAR AIR,30-06-2012,598
44387,EXPRESS AIR,9/2/2009,599
44387,REGULAR AIR,8/2/2009,600
44576,DELIVERY TRUCK,26-12-2009,601
45601,REGULAR AIR,28-09-2011,602
45606,REGULAR AIR,24-09-2011,603
45606,REGULAR AIR,23-09-2011,604
46119,REGULAR AIR,17-02-2009,605
46119,DELIVERY TRUCK,16-02-2009,606
46756,REGULAR AIR,13-10-2009,607
47714,REGULAR AIR,11/3/2011,608
47846,REGULAR AIR,13-08-2012,609
47846,REGULAR AIR,12/8/2012,610
47876,REGULAR AIR,27-12-2009,611
48067,EXPRESS AIR,1/7/2012,612
48067,EXPRESS AIR,29-06-2012,613
48199,REGULAR AIR,21-01-2009,614
49029,EXPRESS AIR,22-05-2012,615
49216,REGULAR AIR,19-03-2009,616
49216,DELIVERY TRUCK,19-03-2009,617
49216,EXPRESS AIR,20-03-2009,618
49990,DELIVERY TRUCK,5/9/2009,619
50081,DELIVERY TRUCK,4/11/2009,620
50404,REGULAR AIR,27-03-2011,621
50404,REGULAR AIR,28-03-2011,622
50784,REGULAR AIR,11/2/2012,623
50850,REGULAR AIR,8/5/2009,624
50850,DELIVERY TRUCK,7/5/2009,625
51075,EXPRESS AIR,25-11-2010,626
51461,REGULAR AIR,12/2/2011,627
51558,REGULAR AIR,29-03-2010,628
51558,DELIVERY TRUCK,29-03-2010,629
52130,REGULAR AIR,7/9/2012,630
52482,EXPRESS AIR,31-01-2011,631
52482,REGULAR AIR,2/2/2011,632
53410,REGULAR AIR,9/8/2009,633
53477,DELIVERY TRUCK,7/5/2012,634
53477,DELIVERY TRUCK,6/5/2012,635
53477,REGULAR AIR,7/5/2012,636
53508,REGULAR AIR,12/11/2009,637
53508,REGULAR AIR,10/11/2009,638
53703,REGULAR AIR,15-06-2010,639
54115,REGULAR AIR,12/1/2012,640
54437,REGULAR AIR,19-12-2010,641
54501,REGULAR AIR,30-11-2012,642
54501,REGULAR AIR,1/12/2012,643
54753,REGULAR AIR,19-04-2009,644
55138,REGULAR AIR,25-09-2009,645
55271,DELIVERY TRUCK,13-03-2011,646
55331,REGULAR AIR,15-12-2010,647
