"Order_ID";"Ship_Mode";"Ship_Date";"Ship_id";"ship_date_trimmed";"dd";"mm";"yyyy";"ddmmyyyy"
4676;"EXPRESS AIR";"02-09-2011";45;"02-09-2011";"02";"09";"2011";"02-09-2011"
5284;"REGULAR AIR";"10-07-2011";46;"10-07-2011";"10";"07";"2011";"10-07-2011"
5316;"REGULAR AIR";"01-02-2009";47;"01-02-2009";"01";"02";"2009";"01-02-2009"
5409;"REGULAR AIR";"13-01-2012";48;"13-01-2012";"13";"01";"2012";"13-01-2012"
5506;"REGULAR AIR";"08-11-2010";49;"08-11-2010";"08";"11";"2010";"08-11-2010"
5569;"REGULAR AIR";"01-05-2010";50;"01-05-2010";"01";"05";"2010";"01-05-2010"
5607;"REGULAR AIR";"03-01-2012";51;"03-01-2012";"03";"01";"2012";"03-01-2012"
5894;"REGULAR AIR";"13-08-2009";52;"13-08-2009";"13";"08";"2009";"13-08-2009"
5894;"REGULAR AIR";"15-08-2009";53;"15-08-2009";"15";"08";"2009";"15-08-2009"
5925;"REGULAR AIR";"19-11-2011";54;"19-11-2011";"19";"11";"2011";"19-11-2011"
6016;"REGULAR AIR";"20-01-2012";55;"20-01-2012";"20";"01";"2012";"20-01-2012"
6116;"REGULAR AIR";"22-03-2009";56;"22-03-2009";"22";"03";"2009";"22-03-2009"
6182;"REGULAR AIR";"28-07-2012";57;"28-07-2012";"28";"07";"2012";"28-07-2012"
6182;"EXPRESS AIR";"25-07-2012";58;"25-07-2012";"25";"07";"2012";"25-07-2012"
6535;"EXPRESS AIR";"15-06-2012";59;"15-06-2012";"15";"06";"2012";"15-06-2012"
6884;"REGULAR AIR";"20-01-2009";60;"20-01-2009";"20";"01";"2009";"20-01-2009"
6916;"EXPRESS AIR";"08-06-2010";61;"08-06-2010";"08";"06";"2010";"08-06-2010"
6980;"REGULAR AIR";"19-02-2010";62;"19-02-2010";"19";"02";"2010";"19-02-2010"
6982;"EXPRESS AIR";"18-11-2011";63;"18-11-2011";"18";"11";"2011";"18-11-2011"
6982;"DELIVERY TRUCK";"18-11-2011";64;"18-11-2011";"18";"11";"2011";"18-11-2011"
6982;"REGULAR AIR";"18-11-2011";65;"18-11-2011";"18";"11";"2011";"18-11-2011"
7110;"REGULAR AIR";"11-08-2011";66;"11-08-2011";"11";"08";"2011";"11-08-2011"
7430;"REGULAR AIR";"09-06-2010";67;"09-06-2010";"09";"06";"2010";"09-06-2010"
7906;"REGULAR AIR";"17-10-2009";68;"17-10-2009";"17";"10";"2009";"17-10-2009"
8391;"DELIVERY TRUCK";"29-08-2011";69;"29-08-2011";"29";"08";"2011";"29-08-2011"
8419;"EXPRESS AIR";"01-10-2011";70;"01-10-2011";"01";"10";"2011";"01-10-2011"
8419;"REGULAR AIR";"30-09-2011";71;"30-09-2011";"30";"09";"2011";"30-09-2011"
8833;"REGULAR AIR";"08-05-2012";72;"08-05-2012";"08";"05";"2012";"08-05-2012"
8995;"EXPRESS AIR";"18-05-2011";73;"18-05-2011";"18";"05";"2011";"18-05-2011"
8995;"REGULAR AIR";"18-05-2011";74;"18-05-2011";"18";"05";"2011";"18-05-2011"
8995;"REGULAR AIR";"19-05-2011";75;"19-05-2011";"19";"05";"2011";"19-05-2011"
9126;"REGULAR AIR";"18-11-2009";76;"18-11-2009";"18";"11";"2009";"18-11-2009"
9127;"EXPRESS AIR";"12-10-2011";77;"12-10-2011";"12";"10";"2011";"12-10-2011"
9509;"DELIVERY TRUCK";"08-10-2012";78;"08-10-2012";"08";"10";"2012";"08-10-2012"
9509;"EXPRESS AIR";"08-10-2012";79;"08-10-2012";"08";"10";"2012";"08-10-2012"
9509;"REGULAR AIR";"07-10-2012";80;"07-10-2012";"07";"10";"2012";"07-10-2012"
9763;"REGULAR AIR";"16-08-2011";81;"16-08-2011";"16";"08";"2011";"16-08-2011"
9927;"DELIVERY TRUCK";"17-08-2011";82;"17-08-2011";"17";"08";"2011";"17-08-2011"
9927;"REGULAR AIR";"17-08-2011";83;"17-08-2011";"17";"08";"2011";"17-08-2011"
9927;"EXPRESS AIR";"17-08-2011";84;"17-08-2011";"17";"08";"2011";"17-08-2011"
10022;"REGULAR AIR";"04-03-2009";85;"04-03-2009";"04";"03";"2009";"04-03-2009"
10437;"REGULAR AIR";"20-08-2009";86;"20-08-2009";"20";"08";"2009";"20-08-2009"
10499;"DELIVERY TRUCK";"17-11-2010";87;"17-11-2010";"17";"11";"2010";"17-11-2010"
10535;"REGULAR AIR";"29-05-2011";88;"29-05-2011";"29";"05";"2011";"29-05-2011"
10535;"REGULAR AIR";"03-06-2011";89;"03-06-2011";"03";"06";"2011";"03-06-2011"
10789;"EXPRESS AIR";"24-08-2010";90;"24-08-2010";"24";"08";"2010";"24-08-2010"
10791;"REGULAR AIR";"21-08-2011";91;"21-08-2011";"21";"08";"2011";"21-08-2011"
10945;"REGULAR AIR";"05-01-2012";92;"05-01-2012";"05";"01";"2012";"05-01-2012"
11137;"REGULAR AIR";"30-11-2012";93;"30-11-2012";"30";"11";"2012";"30-11-2012"
11202;"REGULAR AIR";"18-03-2012";94;"18-03-2012";"18";"03";"2012";"18-03-2012"
11456;"REGULAR AIR";"19-04-2010";95;"19-04-2010";"19";"04";"2010";"19-04-2010"
11460;"REGULAR AIR";"26-08-2010";96;"26-08-2010";"26";"08";"2010";"26-08-2010"
11495;"DELIVERY TRUCK";"05-07-2011";97;"05-07-2011";"05";"07";"2011";"05-07-2011"
11911;"REGULAR AIR";"12-11-2010";98;"12-11-2010";"12";"11";"2010";"12-11-2010"
11941;"REGULAR AIR";"25-06-2010";99;"25-06-2010";"25";"06";"2010";"25-06-2010"
11941;"DELIVERY TRUCK";"25-06-2010";100;"25-06-2010";"25";"06";"2010";"25-06-2010"
12096;"REGULAR AIR";"19-09-2012";101;"19-09-2012";"19";"09";"2012";"19-09-2012"
12096;"REGULAR AIR";"21-09-2012";102;"21-09-2012";"21";"09";"2012";"21-09-2012"
12289;"REGULAR AIR";"28-12-2011";103;"28-12-2011";"28";"12";"2011";"28-12-2011"
12352;"REGULAR AIR";"24-03-2012";104;"24-03-2012";"24";"03";"2012";"24-03-2012"
12419;"REGULAR AIR";"17-10-2011";105;"17-10-2011";"17";"10";"2011";"17-10-2011"
12485;"DELIVERY TRUCK";"08-08-2010";106;"08-08-2010";"08";"08";"2010";"08-08-2010"
12544;"REGULAR AIR";"10-03-2009";107;"10-03-2009";"10";"03";"2009";"10-03-2009"
12704;"REGULAR AIR";"09-02-2010";108;"09-02-2010";"09";"02";"2010";"09-02-2010"
12704;"DELIVERY TRUCK";"11-02-2010";109;"11-02-2010";"11";"02";"2010";"11-02-2010"
12771;"REGULAR AIR";"17-01-2009";110;"17-01-2009";"17";"01";"2009";"17-01-2009"
12771;"REGULAR AIR";"19-01-2009";111;"19-01-2009";"19";"01";"2009";"19-01-2009"
12929;"DELIVERY TRUCK";"31-08-2010";112;"31-08-2010";"31";"08";"2010";"31-08-2010"
12929;"REGULAR AIR";"31-08-2010";113;"31-08-2010";"31";"08";"2010";"31-08-2010"
13280;"REGULAR AIR";"12-09-2009";114;"12-09-2009";"12";"09";"2009";"12-09-2009"
13313;"REGULAR AIR";"17-07-2009";115;"17-07-2009";"17";"07";"2009";"17-07-2009"
13346;"REGULAR AIR";"20-11-2012";116;"20-11-2012";"20";"11";"2012";"20-11-2012"
13702;"REGULAR AIR";"14-09-2011";117;"14-09-2011";"14";"09";"2011";"14-09-2011"
13795;"REGULAR AIR";"13-04-2011";118;"13-04-2011";"13";"04";"2011";"13-04-2011"
13795;"EXPRESS AIR";"13-04-2011";119;"13-04-2011";"13";"04";"2011";"13-04-2011"
13795;"REGULAR AIR";"11-04-2011";120;"11-04-2011";"11";"04";"2011";"11-04-2011"
14116;"REGULAR AIR";"11-10-2011";121;"11-10-2011";"11";"10";"2011";"11-10-2011"
14116;"REGULAR AIR";"10-10-2011";122;"10-10-2011";"10";"10";"2011";"10-10-2011"
14372;"DELIVERY TRUCK";"25-10-2012";123;"25-10-2012";"25";"10";"2012";"25-10-2012"
14726;"REGULAR AIR";"08-01-2012";124;"08-01-2012";"08";"01";"2012";"08-01-2012"
14819;"REGULAR AIR";"27-01-2010";125;"27-01-2010";"27";"01";"2010";"27-01-2010"
14819;"DELIVERY TRUCK";"26-01-2010";126;"26-01-2010";"26";"01";"2010";"26-01-2010"
15106;"REGULAR AIR";"29-01-2011";127;"29-01-2011";"29";"01";"2011";"29-01-2011"
15106;"DELIVERY TRUCK";"27-01-2011";128;"27-01-2011";"27";"01";"2011";"27-01-2011"
15108;"REGULAR AIR";"29-08-2009";129;"29-08-2009";"29";"08";"2009";"29-08-2009"
15205;"DELIVERY TRUCK";"19-03-2011";130;"19-03-2011";"19";"03";"2011";"19-03-2011"
15205;"REGULAR AIR";"18-03-2011";131;"18-03-2011";"18";"03";"2011";"18-03-2011"
15591;"REGULAR AIR";"08-06-2012";132;"08-06-2012";"08";"06";"2012";"08-06-2012"
15907;"DELIVERY TRUCK";"13-04-2011";133;"13-04-2011";"13";"04";"2011";"13-04-2011"
15907;"EXPRESS AIR";"14-04-2011";134;"14-04-2011";"14";"04";"2011";"14-04-2011"
15907;"REGULAR AIR";"12-04-2011";135;"12-04-2011";"12";"04";"2011";"12-04-2011"
15937;"REGULAR AIR";"10-11-2012";136;"10-11-2012";"10";"11";"2012";"10-11-2012"
15937;"EXPRESS AIR";"15-11-2012";137;"15-11-2012";"15";"11";"2012";"15-11-2012"
16039;"REGULAR AIR";"17-05-2012";138;"17-05-2012";"17";"05";"2012";"17-05-2012"
16193;"REGULAR AIR";"11-04-2012";139;"11-04-2012";"11";"04";"2012";"11-04-2012"
16423;"REGULAR AIR";"07-08-2012";140;"07-08-2012";"07";"08";"2012";"07-08-2012"
16451;"REGULAR AIR";"23-07-2009";141;"23-07-2009";"23";"07";"2009";"23-07-2009"
16545;"REGULAR AIR";"11-05-2010";142;"11-05-2010";"11";"05";"2010";"11-05-2010"
16547;"DELIVERY TRUCK";"20-02-2009";143;"20-02-2009";"20";"02";"2009";"20-02-2009"
16547;"DELIVERY TRUCK";"18-02-2009";144;"18-02-2009";"18";"02";"2009";"18-02-2009"
16706;"REGULAR AIR";"28-06-2012";145;"28-06-2012";"28";"06";"2012";"28-06-2012"
16706;"EXPRESS AIR";"29-06-2012";146;"29-06-2012";"29";"06";"2012";"29-06-2012"
16741;"REGULAR AIR";"01-10-2010";147;"01-10-2010";"01";"10";"2010";"01-10-2010"
16932;"REGULAR AIR";"16-04-2010";148;"16-04-2010";"16";"04";"2010";"16-04-2010"
16932;"REGULAR AIR";"15-04-2010";149;"15-04-2010";"15";"04";"2010";"15-04-2010"
17283;"DELIVERY TRUCK";"15-09-2011";150;"15-09-2011";"15";"09";"2011";"15-09-2011"
17286;"DELIVERY TRUCK";"22-09-2010";151;"22-09-2010";"22";"09";"2010";"22-09-2010"
17409;"REGULAR AIR";"19-08-2010";152;"19-08-2010";"19";"08";"2010";"19-08-2010"
17764;"REGULAR AIR";"16-09-2009";153;"16-09-2009";"16";"09";"2009";"16-09-2009"
18080;"DELIVERY TRUCK";"23-06-2009";154;"23-06-2009";"23";"06";"2009";"23-06-2009"
18113;"DELIVERY TRUCK";"30-08-2012";155;"30-08-2012";"30";"08";"2012";"30-08-2012"
18144;"REGULAR AIR";"09-06-2011";156;"09-06-2011";"09";"06";"2011";"09-06-2011"
18308;"REGULAR AIR";"11-10-2009";157;"11-10-2009";"11";"10";"2009";"11-10-2009"
18308;"REGULAR AIR";"09-10-2009";158;"09-10-2009";"09";"10";"2009";"09-10-2009"
18308;"REGULAR AIR";"10-10-2009";159;"10-10-2009";"10";"10";"2009";"10-10-2009"
18887;"REGULAR AIR";"07-12-2010";160;"07-12-2010";"07";"12";"2010";"07-12-2010"
19010;"REGULAR AIR";"09-06-2009";161;"09-06-2009";"09";"06";"2009";"09-06-2009"
19078;"REGULAR AIR";"28-07-2009";162;"28-07-2009";"28";"07";"2009";"28-07-2009"
19138;"EXPRESS AIR";"10-09-2011";163;"10-09-2011";"10";"09";"2011";"10-09-2011"
19655;"REGULAR AIR";"12-01-2009";164;"12-01-2009";"12";"01";"2009";"12-01-2009"
19686;"REGULAR AIR";"15-08-2010";165;"15-08-2010";"15";"08";"2010";"15-08-2010"
19686;"REGULAR AIR";"17-08-2010";166;"17-08-2010";"17";"08";"2010";"17-08-2010"
20007;"REGULAR AIR";"06-08-2009";167;"06-08-2009";"06";"08";"2009";"06-08-2009"
20071;"DELIVERY TRUCK";"19-09-2011";168;"19-09-2011";"19";"09";"2011";"19-09-2011"
20160;"EXPRESS AIR";"24-10-2011";169;"24-10-2011";"24";"10";"2011";"24-10-2011"
20263;"REGULAR AIR";"15-11-2009";170;"15-11-2009";"15";"11";"2009";"15-11-2009"
20263;"REGULAR AIR";"16-11-2009";171;"16-11-2009";"16";"11";"2009";"16-11-2009"
21285;"REGULAR AIR";"04-07-2010";172;"04-07-2010";"04";"07";"2010";"04-07-2010"
21285;"REGULAR AIR";"05-07-2010";173;"05-07-2010";"05";"07";"2010";"05-07-2010"
21383;"REGULAR AIR";"04-02-2009";174;"04-02-2009";"04";"02";"2009";"04-02-2009"
21607;"REGULAR AIR";"17-03-2012";175;"17-03-2012";"17";"03";"2012";"17-03-2012"
21636;"REGULAR AIR";"10-08-2009";176;"10-08-2009";"10";"08";"2009";"10-08-2009"
21889;"REGULAR AIR";"08-04-2010";177;"08-04-2010";"08";"04";"2010";"08-04-2010"
21889;"REGULAR AIR";"03-04-2010";178;"03-04-2010";"03";"04";"2010";"03-04-2010"
22151;"REGULAR AIR";"31-07-2010";179;"31-07-2010";"31";"07";"2010";"31-07-2010"
22342;"REGULAR AIR";"05-06-2009";180;"05-06-2009";"05";"06";"2009";"05-06-2009"
22469;"REGULAR AIR";"13-10-2010";181;"13-10-2010";"13";"10";"2010";"13-10-2010"
22501;"EXPRESS AIR";"19-05-2010";182;"19-05-2010";"19";"05";"2010";"19-05-2010"
22532;"REGULAR AIR";"08-02-2011";183;"08-02-2011";"08";"02";"2011";"08-02-2011"
23264;"REGULAR AIR";"09-12-2010";184;"09-12-2010";"09";"12";"2010";"09-12-2010"
23488;"DELIVERY TRUCK";"07-01-2009";185;"07-01-2009";"07";"01";"2009";"07-01-2009"
23584;"DELIVERY TRUCK";"14-03-2012";186;"14-03-2012";"14";"03";"2012";"14-03-2012"
24007;"REGULAR AIR";"02-09-2010";187;"02-09-2010";"02";"09";"2010";"02-09-2010"
24007;"REGULAR AIR";"30-08-2010";188;"30-08-2010";"30";"08";"2010";"30-08-2010"
24038;"REGULAR AIR";"22-06-2011";189;"22-06-2011";"22";"06";"2011";"22-06-2011"
24097;"REGULAR AIR";"04-08-2010";190;"04-08-2010";"04";"08";"2010";"04-08-2010"
24097;"REGULAR AIR";"06-08-2010";191;"06-08-2010";"06";"08";"2010";"06-08-2010"
24128;"REGULAR AIR";"25-11-2010";192;"25-11-2010";"25";"11";"2010";"25-11-2010"
24294;"DELIVERY TRUCK";"03-08-2009";193;"03-08-2009";"03";"08";"2009";"03-08-2009"
24387;"REGULAR AIR";"11-08-2011";194;"11-08-2011";"11";"08";"2011";"11-08-2011"
24387;"DELIVERY TRUCK";"10-08-2011";195;"10-08-2011";"10";"08";"2011";"10-08-2011"
24515;"DELIVERY TRUCK";"08-05-2010";196;"08-05-2010";"08";"05";"2010";"08-05-2010"
24743;"DELIVERY TRUCK";"05-07-2012";197;"05-07-2012";"05";"07";"2012";"05-07-2012"
24743;"REGULAR AIR";"03-07-2012";198;"03-07-2012";"03";"07";"2012";"03-07-2012"
24871;"REGULAR AIR";"24-03-2011";199;"24-03-2011";"24";"03";"2011";"24-03-2011"
25318;"EXPRESS AIR";"21-11-2011";200;"21-11-2011";"21";"11";"2011";"21-11-2011"
25377;"DELIVERY TRUCK";"03-12-2012";201;"03-12-2012";"03";"12";"2012";"03-12-2012"
25634;"REGULAR AIR";"01-08-2010";202;"01-08-2010";"01";"08";"2010";"01-08-2010"
25634;"EXPRESS AIR";"30-07-2010";203;"30-07-2010";"30";"07";"2010";"30-07-2010"
25733;"REGULAR AIR";"17-05-2012";204;"17-05-2012";"17";"05";"2012";"17-05-2012"
25767;"REGULAR AIR";"03-03-2012";205;"03-03-2012";"03";"03";"2012";"03-03-2012"
25767;"REGULAR AIR";"04-03-2012";206;"04-03-2012";"04";"03";"2012";"04-03-2012"
26023;"REGULAR AIR";"21-08-2010";207;"21-08-2010";"21";"08";"2010";"21-08-2010"
26051;"DELIVERY TRUCK";"29-06-2010";208;"29-06-2010";"29";"06";"2010";"29-06-2010"
26051;"REGULAR AIR";"28-06-2010";209;"28-06-2010";"28";"06";"2010";"28-06-2010"
26116;"REGULAR AIR";"30-10-2012";210;"30-10-2012";"30";"10";"2012";"30-10-2012"
26182;"DELIVERY TRUCK";"19-01-2010";211;"19-01-2010";"19";"01";"2010";"19-01-2010"
26272;"EXPRESS AIR";"08-07-2012";212;"08-07-2012";"08";"07";"2012";"08-07-2012"
26370;"REGULAR AIR";"10-08-2011";213;"10-08-2011";"10";"08";"2011";"10-08-2011"
26370;"EXPRESS AIR";"10-08-2011";214;"10-08-2011";"10";"08";"2011";"10-08-2011"
26499;"REGULAR AIR";"22-02-2010";215;"22-02-2010";"22";"02";"2010";"22-02-2010"
26531;"REGULAR AIR";"22-06-2011";216;"22-06-2011";"22";"06";"2011";"22-06-2011"
26567;"REGULAR AIR";"04-09-2009";217;"04-09-2009";"04";"09";"2009";"04-09-2009"
26567;"EXPRESS AIR";"07-09-2009";218;"07-09-2009";"07";"09";"2009";"07-09-2009"
26567;"REGULAR AIR";"05-09-2009";219;"05-09-2009";"05";"09";"2009";"05-09-2009"
26854;"REGULAR AIR";"22-06-2009";220;"22-06-2009";"22";"06";"2009";"22-06-2009"
27109;"REGULAR AIR";"10-02-2012";221;"10-02-2012";"10";"02";"2012";"10-02-2012"
27111;"REGULAR AIR";"14-03-2009";222;"14-03-2009";"14";"03";"2009";"14-03-2009"
27111;"REGULAR AIR";"12-03-2009";223;"12-03-2009";"12";"03";"2009";"12-03-2009"
27111;"EXPRESS AIR";"11-03-2009";224;"11-03-2009";"11";"03";"2009";"11-03-2009"
27264;"REGULAR AIR";"06-06-2011";225;"06-06-2011";"06";"06";"2011";"06-06-2011"
27392;"REGULAR AIR";"11-03-2012";226;"11-03-2012";"11";"03";"2012";"11-03-2012"
27553;"DELIVERY TRUCK";"14-08-2011";227;"14-08-2011";"14";"08";"2011";"14-08-2011"
27553;"REGULAR AIR";"14-08-2011";228;"14-08-2011";"14";"08";"2011";"14-08-2011"
27555;"REGULAR AIR";"03-09-2009";229;"03-09-2009";"03";"09";"2009";"03-09-2009"
27680;"REGULAR AIR";"27-01-2010";230;"27-01-2010";"27";"01";"2010";"27-01-2010"
27778;"REGULAR AIR";"04-09-2011";231;"04-09-2011";"04";"09";"2011";"04-09-2011"
27778;"DELIVERY TRUCK";"04-09-2011";232;"04-09-2011";"04";"09";"2011";"04-09-2011"
27909;"REGULAR AIR";"09-02-2012";233;"09-02-2012";"09";"02";"2012";"09-02-2012"
27909;"REGULAR AIR";"10-02-2012";234;"10-02-2012";"10";"02";"2012";"10-02-2012"
28003;"REGULAR AIR";"21-03-2011";235;"21-03-2011";"21";"03";"2011";"21-03-2011"
28035;"REGULAR AIR";"10-05-2011";236;"10-05-2011";"10";"05";"2011";"10-05-2011"
28135;"REGULAR AIR";"27-09-2009";237;"27-09-2009";"27";"09";"2009";"27-09-2009"
28135;"REGULAR AIR";"25-09-2009";238;"25-09-2009";"25";"09";"2009";"25-09-2009"
28165;"REGULAR AIR";"11-07-2012";239;"11-07-2012";"11";"07";"2012";"11-07-2012"
28289;"REGULAR AIR";"15-01-2010";240;"15-01-2010";"15";"01";"2010";"15-01-2010"
28486;"REGULAR AIR";"27-08-2009";241;"27-08-2009";"27";"08";"2009";"27-08-2009"
28675;"REGULAR AIR";"09-10-2009";242;"09-10-2009";"09";"10";"2009";"09-10-2009"
28870;"REGULAR AIR";"13-11-2011";243;"13-11-2011";"13";"11";"2011";"13-11-2011"
28871;"REGULAR AIR";"15-04-2012";244;"15-04-2012";"15";"04";"2012";"15-04-2012"
29030;"REGULAR AIR";"03-01-2012";245;"03-01-2012";"03";"01";"2012";"03-01-2012"
29095;"REGULAR AIR";"09-03-2011";246;"09-03-2011";"09";"03";"2011";"09-03-2011"
29287;"REGULAR AIR";"04-07-2009";247;"04-07-2009";"04";"07";"2009";"04-07-2009"
29287;"DELIVERY TRUCK";"04-07-2009";248;"04-07-2009";"04";"07";"2009";"04-07-2009"
29510;"DELIVERY TRUCK";"17-04-2011";249;"17-04-2011";"17";"04";"2011";"17-04-2011"
29795;"REGULAR AIR";"26-11-2011";250;"26-11-2011";"26";"11";"2011";"26-11-2011"
29795;"DELIVERY TRUCK";"26-11-2011";251;"26-11-2011";"26";"11";"2011";"26-11-2011"
29861;"REGULAR AIR";"26-04-2012";252;"26-04-2012";"26";"04";"2012";"26-04-2012"
30658;"REGULAR AIR";"27-03-2011";253;"27-03-2011";"27";"03";"2011";"27-03-2011"
30658;"REGULAR AIR";"28-03-2011";254;"28-03-2011";"28";"03";"2011";"28-03-2011"
30947;"REGULAR AIR";"18-07-2010";255;"18-07-2010";"18";"07";"2010";"18-07-2010"
31077;"REGULAR AIR";"25-10-2010";256;"25-10-2010";"25";"10";"2010";"25-10-2010"
31111;"REGULAR AIR";"26-08-2009";257;"26-08-2009";"26";"08";"2009";"26-08-2009"
31169;"REGULAR AIR";"13-06-2011";258;"13-06-2011";"13";"06";"2011";"13-06-2011"
31270;"DELIVERY TRUCK";"24-11-2012";259;"24-11-2012";"24";"11";"2012";"24-11-2012"
31270;"DELIVERY TRUCK";"25-11-2012";260;"25-11-2012";"25";"11";"2012";"25-11-2012"
31270;"REGULAR AIR";"25-11-2012";261;"25-11-2012";"25";"11";"2012";"25-11-2012"
31364;"REGULAR AIR";"01-05-2009";262;"01-05-2009";"01";"05";"2009";"01-05-2009"
31393;"REGULAR AIR";"12-05-2012";263;"12-05-2012";"12";"05";"2012";"12-05-2012"
31393;"REGULAR AIR";"13-05-2012";264;"13-05-2012";"13";"05";"2012";"13-05-2012"
31492;"REGULAR AIR";"17-10-2010";265;"17-10-2010";"17";"10";"2010";"17-10-2010"
31492;"EXPRESS AIR";"18-10-2010";266;"18-10-2010";"18";"10";"2010";"18-10-2010"
31492;"REGULAR AIR";"16-10-2010";267;"16-10-2010";"16";"10";"2010";"16-10-2010"
31558;"REGULAR AIR";"28-07-2011";268;"28-07-2011";"28";"07";"2011";"28-07-2011"
31558;"REGULAR AIR";"23-07-2011";269;"23-07-2011";"23";"07";"2011";"23-07-2011"
31618;"REGULAR AIR";"11-07-2011";270;"11-07-2011";"11";"07";"2011";"11-07-2011"
31684;"REGULAR AIR";"19-09-2012";271;"19-09-2012";"19";"09";"2012";"19-09-2012"
31684;"EXPRESS AIR";"18-09-2012";272;"18-09-2012";"18";"09";"2012";"18-09-2012"
31781;"REGULAR AIR";"17-01-2009";273;"17-01-2009";"17";"01";"2009";"17-01-2009"
32193;"EXPRESS AIR";"22-10-2010";274;"22-10-2010";"22";"10";"2010";"22-10-2010"
