"Order_ID";"Order_Date";"Order_Priority";"Ord_id";"DaysTakenForDelivery";"Date_Ordered"
900;"2009-09-30";"NOT SPECIFIED";1873;0;""
902;"2009-07-26";"NOT SPECIFIED";1032;0;""
928;"2011-03-01";"LOW";595;0;""
929;"2012-10-01";"HIGH";4339;0;""
930;"2009-12-16";"CRITICAL";4110;0;""
933;"2012-08-04";"NOT SPECIFIED";10;0;""
960;"2009-09-20";"MEDIUM";2580;0;""
962;"2009-05-05";"LOW";684;0;""
964;"2011-05-19";"MEDIUM";1874;0;""
965;"2011-05-14";"LOW";2581;0;""
967;"2012-06-20";"MEDIUM";4340;0;""
994;"2009-04-19";"LOW";1312;0;""
995;"2011-05-30";"MEDIUM";11;0;""
998;"2009-11-25";"NOT SPECIFIED";12;0;""
999;"2010-09-04";"LOW";2835;0;""
1027;"2012-06-02";"MEDIUM";5138;0;""
1028;"2009-01-05";"HIGH";500;0;""
1031;"2009-08-31";"MEDIUM";2068;0;""
1057;"2012-02-19";"CRITICAL";1313;0;""
1058;"2010-04-25";"MEDIUM";4111;0;""
1059;"2009-02-26";"CRITICAL";1195;0;""
1060;"2010-02-20";"MEDIUM";5139;0;""
1088;"2012-05-20";"LOW";4112;0;""
1095;"2011-08-21";"MEDIUM";4239;0;""
1127;"2011-09-18";"NOT SPECIFIED";2582;0;""
1154;"2012-02-14";"CRITICAL";13;0;""
1185;"2012-08-23";"LOW";3036;0;""
1187;"2012-11-19";"MEDIUM";345;0;""
1189;"2009-04-08";"CRITICAL";2334;0;""
1191;"2011-11-06";"MEDIUM";2238;0;""
1217;"2012-04-25";"NOT SPECIFIED";3697;0;""
1218;"2009-06-19";"NOT SPECIFIED";1142;0;""
1221;"2012-04-18";"NOT SPECIFIED";685;0;""
1222;"2010-02-04";"MEDIUM";5496;0;""
1253;"2010-01-25";"CRITICAL";3210;0;""
1280;"2010-01-10";"LOW";5140;0;""
1282;"2012-02-27";"NOT SPECIFIED";596;0;""
1285;"2012-05-31";"CRITICAL";878;0;""
1286;"2010-05-13";"NOT SPECIFIED";2836;0;""
1287;"2009-07-04";"HIGH";3526;0;""
1313;"2009-09-12";"CRITICAL";879;0;""
1314;"2009-05-12";"MEDIUM";501;0;""
1317;"2011-05-18";"HIGH";3809;0;""
1344;"2012-04-15";"LOW";14;0;""
1345;"2012-10-27";"LOW";1216;0;""
1346;"2012-06-17";"HIGH";880;0;""
1382;"2010-08-16";"LOW";1789;0;""
1383;"2010-04-26";"HIGH";5249;0;""
1411;"2009-12-20";"HIGH";1790;0;""
1412;"2010-03-12";"NOT SPECIFIED";15;0;""
1414;"2011-08-15";"CRITICAL";4838;0;""
1440;"2011-08-09";"LOW";3121;0;""
1444;"2009-12-05";"MEDIUM";1791;0;""
1445;"2011-01-09";"MEDIUM";686;0;""
1447;"2012-10-14";"HIGH";2069;0;""
1504;"2012-08-27";"MEDIUM";4113;0;""
1507;"2010-10-13";"MEDIUM";2583;0;""
1537;"2012-02-14";"NOT SPECIFIED";2195;0;""
1538;"2011-06-17";"NOT SPECIFIED";1314;0;""
1539;"2011-03-09";"LOW";16;0;""
1540;"2012-08-04";"HIGH";17;0;""
1542;"2010-09-14";"MEDIUM";3211;0;""
1573;"2012-12-27";"HIGH";1684;0;""
1575;"2011-09-12";"MEDIUM";4341;0;""
1600;"2010-03-02";"MEDIUM";1143;0;""
1604;"2010-07-16";"LOW";3810;0;""
1637;"2011-02-07";"NOT SPECIFIED";4342;0;""
1639;"2011-08-19";"NOT SPECIFIED";1685;0;""
1665;"2009-05-07";"HIGH";2584;0;""
1666;"2011-10-17";"CRITICAL";3698;0;""
1699;"2010-12-29";"CRITICAL";881;0;""
1701;"2012-05-18";"HIGH";1315;0;""
1702;"2011-05-06";"HIGH";18;0;""
1761;"2010-12-23";"HIGH";19;0;""
1762;"2009-08-19";"NOT SPECIFIED";5086;0;""
1764;"2012-03-24";"CRITICAL";5141;0;""
1767;"2011-03-13";"HIGH";4950;0;""
1792;"2010-11-08";"LOW";20;0;""
1793;"2012-07-11";"NOT SPECIFIED";1217;0;""
1796;"2012-11-20";"HIGH";4114;0;""
1799;"2009-03-06";"NOT SPECIFIED";687;0;""
1824;"2009-05-04";"CRITICAL";5142;0;""
1825;"2010-12-04";"MEDIUM";2335;0;""
1826;"2012-04-15";"NOT SPECIFIED";1196;0;""
1829;"2009-05-07";"HIGH";3699;0;""
1831;"2010-12-01";"CRITICAL";2837;0;""
1856;"2012-03-19";"NOT SPECIFIED";597;0;""
1857;"2010-01-12";"HIGH";5346;0;""
1863;"2010-09-22";"NOT SPECIFIED";4951;0;""
1888;"2010-10-30";"NOT SPECIFIED";4343;0;""
1891;"2009-12-14";"LOW";1316;0;""
1892;"2009-03-25";"LOW";2838;0;""
1895;"2009-05-29";"MEDIUM";3527;0;""
1921;"2009-01-17";"MEDIUM";2972;0;""
1925;"2012-03-04";"CRITICAL";598;0;""
1952;"2009-03-15";"HIGH";2585;0;""
1953;"2010-11-29";"MEDIUM";2586;0;""
1985;"2009-09-01";"NOT SPECIFIED";2239;0;""
1988;"2011-10-05";"NOT SPECIFIED";2240;0;""
1991;"2012-09-06";"NOT SPECIFIED";2839;0;""
2020;"2010-06-20";"MEDIUM";1197;0;""
2022;"2012-03-14";"CRITICAL";1317;0;""
2023;"2012-05-05";"LOW";3528;0;""
2048;"2010-11-14";"CRITICAL";4115;0;""
2050;"2009-06-01";"NOT SPECIFIED";4116;0;""
2052;"2012-04-12";"HIGH";4344;0;""
2053;"2011-02-06";"CRITICAL";1686;0;""
2054;"2012-06-07";"NOT SPECIFIED";4117;0;""
2055;"2010-09-03";"CRITICAL";4345;0;""
2084;"2010-03-16";"HIGH";1984;0;""
2086;"2009-10-18";"CRITICAL";3645;0;""
2144;"2009-03-28";"MEDIUM";3811;0;""
2146;"2012-09-13";"NOT SPECIFIED";1687;0;""
2147;"2012-09-05";"NOT SPECIFIED";1033;0;""
2149;"2010-03-12";"LOW";3037;0;""
2150;"2009-06-02";"MEDIUM";2070;0;""
2181;"2011-09-12";"MEDIUM";1318;0;""
2208;"2011-04-30";"NOT SPECIFIED";882;0;""
2209;"2012-07-09";"HIGH";1218;0;""
2211;"2009-06-29";"HIGH";2071;0;""
2213;"2010-01-14";"NOT SPECIFIED";2587;0;""
2240;"2012-03-05";"NOT SPECIFIED";4006;0;""
2241;"2010-05-10";"CRITICAL";4007;0;""
2244;"2010-01-08";"CRITICAL";1864;0;""
2247;"2012-08-01";"NOT SPECIFIED";5347;0;""
2272;"2010-04-12";"HIGH";3011;0;""
2275;"2012-10-21";"NOT SPECIFIED";21;0;""
2277;"2011-01-01";"NOT SPECIFIED";22;0;""
2279;"2010-02-22";"MEDIUM";502;0;""
2305;"2010-01-25";"HIGH";2241;0;""
2306;"2011-07-25";"HIGH";1034;0;""
2307;"2010-06-28";"LOW";2072;0;""
2309;"2011-09-03";"LOW";4346;0;""
2311;"2011-05-01";"HIGH";4839;0;""
2339;"2010-12-14";"LOW";346;0;""
2341;"2010-05-29";"LOW";4347;0;""
2368;"2010-08-19";"CRITICAL";2588;0;""
2370;"2009-01-16";"CRITICAL";2073;0;""
2373;"2009-03-11";"NOT SPECIFIED";1144;0;""
2374;"2010-10-28";"NOT SPECIFIED";2074;0;""
2433;"2009-08-21";"NOT SPECIFIED";5250;0;""
2436;"2011-09-10";"NOT SPECIFIED";4348;0;""
2438;"2010-07-14";"HIGH";4840;0;""
2465;"2011-06-23";"CRITICAL";503;0;""
2466;"2009-03-05";"CRITICAL";3038;0;""
2467;"2011-07-15";"NOT SPECIFIED";2336;0;""
2497;"2012-08-26";"CRITICAL";3212;0;""
2500;"2012-08-14";"HIGH";4349;0;""
2503;"2010-06-19";"MEDIUM";5143;0;""
2530;"2009-03-20";"MEDIUM";504;0;""
2532;"2011-10-10";"HIGH";23;0;""
2535;"2010-05-24";"LOW";4350;0;""
2560;"2012-09-04";"CRITICAL";2589;0;""
2562;"2012-07-31";"CRITICAL";4240;0;""
2563;"2010-11-18";"NOT SPECIFIED";3753;0;""
2593;"2010-09-03";"HIGH";3529;0;""
2595;"2011-12-13";"NOT SPECIFIED";4841;0;""
2626;"2011-09-07";"NOT SPECIFIED";1145;0;""
2628;"2010-10-21";"LOW";1319;0;""
2630;"2012-10-23";"LOW";3213;0;""
2631;"2010-09-23";"LOW";24;0;""
2656;"2010-05-03";"CRITICAL";883;0;""
2657;"2011-10-16";"HIGH";3214;0;""
2658;"2011-09-22";"MEDIUM";4351;0;""
2659;"2010-12-17";"NOT SPECIFIED";5251;0;""
2688;"2012-01-23";"HIGH";3215;0;""
2691;"2012-04-29";"LOW";1320;0;""
2720;"2010-06-07";"CRITICAL";688;0;""
2722;"2009-04-08";"LOW";1875;0;""
2725;"2009-05-20";"NOT SPECIFIED";4352;0;""
2752;"2010-11-18";"HIGH";1688;0;""
2754;"2009-04-02";"HIGH";2590;0;""
2755;"2012-02-06";"NOT SPECIFIED";2591;0;""
2756;"2009-04-17";"CRITICAL";4353;0;""
2757;"2011-07-19";"CRITICAL";25;0;""
2757;"2011-07-19";"HIGH";3812;0;""
2759;"2010-11-24";"NOT SPECIFIED";3754;0;""
2790;"2009-08-18";"HIGH";4842;0;""
2791;"2009-10-09";"HIGH";26;0;""
2816;"2009-09-19";"HIGH";3216;0;""
2817;"2009-04-18";"MEDIUM";3941;0;""
2818;"2009-12-11";"MEDIUM";3217;0;""
2823;"2011-09-08";"HIGH";1035;0;""
2848;"2012-03-09";"CRITICAL";599;0;""
2852;"2010-01-15";"CRITICAL";3942;0;""
2853;"2009-05-04";"HIGH";4354;0;""
2882;"2011-08-21";"HIGH";5348;0;""
2883;"2011-01-22";"LOW";505;0;""
2885;"2012-09-18";"NOT SPECIFIED";4118;0;""
2912;"2012-03-11";"LOW";1321;0;""
2914;"2010-03-02";"MEDIUM";4355;0;""
2915;"2009-03-30";"LOW";4952;0;""
2947;"2011-04-25";"CRITICAL";1219;0;""
2976;"2010-12-09";"NOT SPECIFIED";27;0;""
2978;"2011-05-02";"CRITICAL";2973;0;""
3008;"2011-11-07";"MEDIUM";4356;0;""
3012;"2010-05-04";"CRITICAL";3813;0;""
3014;"2012-10-29";"NOT SPECIFIED";2337;0;""
3040;"2010-04-11";"MEDIUM";3218;0;""
3042;"2009-11-20";"MEDIUM";4357;0;""
3046;"2011-11-29";"HIGH";4953;0;""
3073;"2009-01-07";"MEDIUM";2338;0;""
3078;"2010-02-11";"HIGH";1876;0;""
3104;"2010-09-15";"MEDIUM";1865;0;""
3108;"2010-08-04";"CRITICAL";3219;0;""
3109;"2010-07-23";"LOW";1146;0;""
3110;"2009-12-16";"HIGH";1036;0;""
3136;"2009-08-09";"NOT SPECIFIED";1284;0;""
3138;"2009-02-08";"NOT SPECIFIED";2075;0;""
3141;"2011-11-09";"CRITICAL";2076;0;""
3168;"2012-01-29";"LOW";2339;0;""
3169;"2010-12-20";"MEDIUM";3814;0;""
3172;"2012-06-02";"NOT SPECIFIED";5252;0;""
3175;"2009-07-14";"LOW";4358;0;""
3202;"2012-12-23";"LOW";3700;0;""
3205;"2012-04-10";"LOW";2340;0;""
3232;"2012-10-08";"CRITICAL";28;0;""
3235;"2011-11-14";"LOW";1322;0;""
3266;"2011-03-16";"LOW";1323;0;""
3271;"2011-12-31";"CRITICAL";1220;0;""
3297;"2012-11-02";"HIGH";5349;0;""
3300;"2011-07-14";"LOW";4359;0;""
3328;"2012-11-18";"LOW";4360;0;""
3331;"2010-05-20";"HIGH";3815;0;""
3332;"2009-11-04";"CRITICAL";1985;0;""
3333;"2012-09-15";"NOT SPECIFIED";2592;0;""
3361;"2012-08-22";"NOT SPECIFIED";884;0;""
3362;"2011-07-28";"LOW";506;0;""
3363;"2011-09-22";"HIGH";1324;0;""
3393;"2011-07-03";"HIGH";885;0;""
3395;"2009-10-29";"NOT SPECIFIED";4843;0;""
3397;"2009-06-22";"MEDIUM";1986;0;""
3456;"2010-05-31";"LOW";1877;0;""
3458;"2009-12-21";"HIGH";4119;0;""
3459;"2009-07-27";"NOT SPECIFIED";3220;0;""
3460;"2011-10-02";"HIGH";2593;0;""
3461;"2010-01-30";"CRITICAL";3530;0;""
3463;"2010-08-17";"CRITICAL";1037;0;""
3488;"2011-01-07";"MEDIUM";3221;0;""
3492;"2009-11-23";"LOW";3222;0;""
3493;"2010-08-23";"HIGH";3039;0;""
3521;"2012-10-25";"LOW";347;0;""
3522;"2009-09-25";"LOW";4120;0;""
3524;"2012-05-02";"HIGH";29;0;""
3525;"2011-12-21";"NOT SPECIFIED";4361;0;""
3526;"2011-03-15";"LOW";4362;0;""
3553;"2009-05-17";"MEDIUM";3223;0;""
3554;"2011-06-16";"LOW";3531;0;""
3556;"2012-09-22";"NOT SPECIFIED";1878;0;""
3559;"2012-10-23";"MEDIUM";2341;0;""
3585;"2009-11-22";"HIGH";1325;0;""
3586;"2010-12-04";"HIGH";2342;0;""
3588;"2011-03-18";"NOT SPECIFIED";3040;0;""
3589;"2009-05-25";"HIGH";1987;0;""
3591;"2010-12-07";"MEDIUM";2594;0;""
3621;"2010-05-05";"MEDIUM";4363;0;""
3622;"2011-11-26";"LOW";3224;0;""
3648;"2010-06-16";"LOW";1285;0;""
3649;"2009-07-05";"LOW";4364;0;""
3650;"2012-05-27";"NOT SPECIFIED";3816;0;""
3653;"2009-03-26";"CRITICAL";4121;0;""
3654;"2012-06-02";"LOW";1879;0;""
3655;"2012-10-05";"CRITICAL";5350;0;""
3680;"2012-12-09";"NOT SPECIFIED";1880;0;""
3685;"2012-01-16";"MEDIUM";689;0;""
3687;"2010-02-02";"CRITICAL";690;0;""
3745;"2010-09-28";"LOW";1326;0;""
3746;"2009-09-10";"NOT SPECIFIED";5351;0;""
3749;"2011-02-23";"MEDIUM";3122;0;""
3750;"2011-04-29";"MEDIUM";2343;0;""
3777;"2009-04-07";"MEDIUM";1147;0;""
3778;"2010-05-25";"CRITICAL";2344;0;""
3783;"2010-12-05";"NOT SPECIFIED";3817;0;""
3808;"2009-04-23";"CRITICAL";4122;0;""
3810;"2012-09-16";"CRITICAL";3225;0;""
3814;"2011-02-21";"LOW";4365;0;""
3841;"2009-10-04";"NOT SPECIFIED";2345;0;""
3845;"2012-04-25";"CRITICAL";5352;0;""
3877;"2010-05-20";"LOW";2242;0;""
3905;"2010-12-20";"NOT SPECIFIED";1988;0;""
3907;"2012-08-18";"MEDIUM";691;0;""
3908;"2010-03-08";"MEDIUM";30;0;""
3911;"2011-03-16";"NOT SPECIFIED";4366;0;""
3942;"2010-06-27";"NOT SPECIFIED";1792;0;""
3970;"2012-03-26";"MEDIUM";4123;0;""
3973;"2012-03-23";"NOT SPECIFIED";1148;0;""
4004;"2010-05-06";"MEDIUM";2346;0;""
4006;"2011-01-03";"MEDIUM";2595;0;""
4007;"2010-06-17";"HIGH";348;0;""
4033;"2010-06-01";"LOW";1989;0;""
4034;"2010-11-13";"NOT SPECIFIED";1038;0;""
4037;"2010-03-23";"HIGH";1039;0;""
4067;"2012-10-06";"HIGH";692;0;""
4069;"2012-05-12";"MEDIUM";5144;0;""
4070;"2011-06-11";"HIGH";3123;0;""
4096;"2012-07-02";"NOT SPECIFIED";2347;0;""
4099;"2012-08-20";"CRITICAL";4241;0;""
4103;"2012-07-02";"LOW";2243;0;""
4128;"2011-10-06";"NOT SPECIFIED";1327;0;""
4132;"2011-05-28";"NOT SPECIFIED";31;0;""
4134;"2011-01-11";"CRITICAL";4367;0;""
4162;"2012-02-09";"LOW";1881;0;""
4166;"2010-02-27";"LOW";3532;0;""
4193;"2009-01-08";"HIGH";2596;0;""
4195;"2010-05-28";"NOT SPECIFIED";4844;0;""
4199;"2012-02-12";"CRITICAL";5253;0;""
4230;"2012-03-03";"CRITICAL";4368;0;""
4257;"2011-03-24";"MEDIUM";693;0;""
4261;"2012-10-02";"CRITICAL";694;0;""
4294;"2012-08-14";"MEDIUM";695;0;""
4321;"2009-07-17";"MEDIUM";1221;0;""
4324;"2011-07-16";"CRITICAL";4369;0;""
4354;"2009-09-29";"NOT SPECIFIED";1328;0;""
4359;"2010-03-02";"CRITICAL";3943;0;""
4387;"2011-10-22";"CRITICAL";2597;0;""
4389;"2009-05-04";"MEDIUM";4954;0;""
4391;"2012-02-17";"HIGH";4845;0;""
4416;"2012-06-29";"LOW";349;0;""
4422;"2011-05-21";"MEDIUM";4846;0;""
4451;"2009-09-30";"CRITICAL";3226;0;""
4454;"2009-02-01";"LOW";350;0;""
4455;"2010-10-10";"MEDIUM";2244;0;""
4487;"2010-02-22";"MEDIUM";886;0;""
4512;"2011-10-24";"LOW";2598;0;""
4514;"2009-04-29";"MEDIUM";5353;0;""
4515;"2012-03-16";"CRITICAL";2077;0;""
4516;"2009-03-28";"MEDIUM";3227;0;""
4545;"2010-01-16";"NOT SPECIFIED";1222;0;""
4550;"2009-12-28";"HIGH";1329;0;""
4578;"2012-09-12";"LOW";3228;0;""
4579;"2011-11-30";"HIGH";887;0;""
4580;"2010-11-14";"NOT SPECIFIED";2196;0;""
4581;"2012-09-03";"NOT SPECIFIED";4370;0;""
4583;"2009-09-24";"MEDIUM";3818;0;""
4610;"2010-06-17";"LOW";2840;0;""
4611;"2010-01-09";"HIGH";3229;0;""
4612;"2010-09-19";"MEDIUM";32;0;""
4642;"2011-02-26";"CRITICAL";696;0;""
4645;"2009-09-19";"CRITICAL";5145;0;""
4647;"2009-05-13";"MEDIUM";1793;0;""
4672;"2011-11-06";"CRITICAL";5354;0;""
4674;"2009-04-18";"CRITICAL";4008;0;""
4675;"2010-11-24";"NOT SPECIFIED";3819;0;""
4676;"2011-08-31";"HIGH";33;0;""
4705;"2012-03-21";"NOT SPECIFIED";5355;0;""
4706;"2012-12-28";"NOT SPECIFIED";4371;0;""
4708;"2009-09-30";"CRITICAL";2078;0;""
4737;"2010-03-10";"NOT SPECIFIED";4009;0;""
4738;"2012-04-07";"HIGH";4372;0;""
4739;"2010-02-20";"LOW";4124;0;""
4741;"2012-07-06";"NOT SPECIFIED";4847;0;""
4743;"2010-03-30";"LOW";1330;0;""
4769;"2011-04-13";"NOT SPECIFIED";2348;0;""
4771;"2012-12-13";"CRITICAL";4373;0;""
4772;"2009-09-13";"CRITICAL";3820;0;""
4773;"2011-12-22";"CRITICAL";1990;0;""
4774;"2010-04-19";"MEDIUM";3124;0;""
4800;"2012-01-05";"LOW";2349;0;""
4804;"2012-01-27";"HIGH";4374;0;""
4805;"2012-04-24";"NOT SPECIFIED";5356;0;""
4835;"2009-10-24";"CRITICAL";4848;0;""
4839;"2009-05-09";"CRITICAL";2599;0;""
4864;"2012-11-10";"LOW";697;0;""
4870;"2009-08-05";"MEDIUM";4375;0;""
4871;"2011-06-11";"CRITICAL";3701;0;""
4896;"2012-08-21";"CRITICAL";1882;0;""
4931;"2009-11-16";"CRITICAL";4376;0;""
4932;"2010-08-09";"CRITICAL";1149;0;""
4935;"2010-05-24";"NOT SPECIFIED";2600;0;""
4960;"2011-02-25";"LOW";1794;0;""
4965;"2010-10-20";"LOW";1883;0;""
4996;"2012-09-13";"MEDIUM";698;0;""
5028;"2012-04-16";"HIGH";4849;0;""
5059;"2010-11-09";"HIGH";3533;0;""
5061;"2010-08-13";"CRITICAL";888;0;""
5092;"2011-10-29";"LOW";889;0;""
5094;"2010-03-28";"NOT SPECIFIED";4377;0;""
5095;"2012-04-21";"HIGH";4850;0;""
5121;"2012-05-10";"NOT SPECIFIED";699;0;""
5153;"2011-08-25";"CRITICAL";351;0;""
5155;"2009-06-11";"HIGH";2079;0;""
5188;"2011-03-01";"NOT SPECIFIED";4378;0;""
5189;"2010-11-25";"LOW";1991;0;""
5217;"2011-10-12";"HIGH";3821;0;""
5221;"2011-06-08";"NOT SPECIFIED";4010;0;""
5222;"2009-05-26";"NOT SPECIFIED";5357;0;""
5251;"2011-04-11";"MEDIUM";1331;0;""
5254;"2012-07-25";"NOT SPECIFIED";3534;0;""
5281;"2011-11-01";"HIGH";3230;0;""
5283;"2009-06-03";"MEDIUM";1332;0;""
5284;"2011-07-08";"NOT SPECIFIED";34;0;""
5316;"2009-01-30";"CRITICAL";35;0;""
5317;"2009-09-08";"LOW";4851;0;""
5318;"2010-04-03";"HIGH";507;0;""
5346;"2010-12-25";"CRITICAL";700;0;""
5347;"2011-02-21";"MEDIUM";5254;0;""
5350;"2010-10-09";"LOW";3755;0;""
5378;"2012-10-24";"CRITICAL";4125;0;""
5381;"2010-01-28";"LOW";1333;0;""
5382;"2012-01-12";"LOW";2080;0;""
5408;"2012-07-20";"LOW";4379;0;""
5409;"2012-01-08";"LOW";36;0;""
5414;"2010-03-24";"NOT SPECIFIED";2081;0;""
5441;"2009-07-20";"NOT SPECIFIED";5358;0;""
5444;"2011-03-17";"CRITICAL";1334;0;""
5445;"2010-07-25";"LOW";1689;0;""
5446;"2009-06-20";"LOW";352;0;""
5472;"2010-04-10";"LOW";4380;0;""
5473;"2012-03-24";"NOT SPECIFIED";701;0;""
5504;"2010-01-05";"HIGH";600;0;""
5506;"2010-11-07";"CRITICAL";37;0;""
5509;"2009-04-07";"LOW";4242;0;""
5510;"2010-01-07";"MEDIUM";1992;0;""
5511;"2009-11-28";"CRITICAL";890;0;""
5538;"2010-12-24";"CRITICAL";1040;0;""
5543;"2010-09-24";"MEDIUM";2350;0;""
5568;"2011-06-06";"MEDIUM";4011;0;""
5569;"2010-04-29";"NOT SPECIFIED";38;0;""
5572;"2009-07-16";"HIGH";1223;0;""
5575;"2011-07-23";"LOW";3535;0;""
5601;"2012-01-05";"HIGH";1335;0;""
5607;"2011-12-31";"NOT SPECIFIED";39;0;""
5635;"2012-08-15";"MEDIUM";3231;0;""
5636;"2011-02-15";"MEDIUM";2351;0;""
5639;"2009-06-01";"MEDIUM";2983;0;""
5696;"2011-05-03";"CRITICAL";3232;0;""
5697;"2012-10-04";"CRITICAL";2841;0;""
5698;"2009-05-20";"MEDIUM";702;0;""
5699;"2012-07-29";"LOW";1690;0;""
5702;"2010-09-06";"NOT SPECIFIED";4381;0;""
5703;"2010-05-15";"MEDIUM";1224;0;""
5735;"2009-12-10";"MEDIUM";4852;0;""
5760;"2009-05-24";"NOT SPECIFIED";1336;0;""
5764;"2010-10-02";"NOT SPECIFIED";5255;0;""
5765;"2009-12-14";"LOW";3822;0;""
5767;"2012-04-28";"HIGH";5497;0;""
5799;"2011-08-02";"CRITICAL";891;0;""
5828;"2009-03-05";"LOW";4126;0;""
5830;"2010-03-24";"MEDIUM";1884;0;""
5856;"2009-11-05";"HIGH";4853;0;""
5858;"2012-07-13";"NOT SPECIFIED";5146;0;""
5860;"2012-02-19";"NOT SPECIFIED";5256;0;""
5863;"2010-11-21";"MEDIUM";1041;0;""
5890;"2012-11-03";"HIGH";892;0;""
5891;"2012-12-28";"MEDIUM";4854;0;""
5894;"2009-08-12";"HIGH";40;0;""
5920;"2009-11-19";"HIGH";1225;0;""
5921;"2009-04-06";"LOW";3233;0;""
5925;"2011-11-12";"LOW";41;0;""
